Mod:Item:MetaData, Localized Name
hbm:missile_buster_strong, Enhanced Bunker Buster
hbm:missile_emp_strong, Strong EMP Missile
hbm:missile_burst, Spare Missile
hbm:missile_inferno, Inferno Missile G.R.N. Mk.II
hbm:missile_rain, Bomblet Rain
hbm:missile_drill, The Concrete Cracker
hbm:missile_nuclear, Nuclear Missile
hbm:missile_nuclear_cluster, Thermonuclear Missile
hbm:missile_volcano, Tectonic Missile
hbm:missile_endo, Endothermic Missile
hbm:missile_exo, Exothermic Missile
hbm:missile_doomsday, Doomsday Missile
hbm:missile_taint, Taint-Tipped Missile
hbm:missile_micro, Micro-Nuclear Missile
hbm:missile_bhole, Black Hole Missile
hbm:missile_schrabidium, Schrabidium Missile
hbm:missile_emp, EMP Missile
hbm:missile_anti_ballistic, Anti Ballistic Missile
hbm:missile_carrier, HTR-01 Carrier Rocket
hbm:missile_soyuz_lander, Orbital Module				 
hbm:missile_soyuz0, Soyuz-FG
hbm:missile_soyuz1, Soyuz-FG
hbm:missile_soyuz2, Soyuz-FG
hbm:warhead_generic_small, Small Warhead
hbm:warhead_incendiary_small, Small Incendiary Warhead
hbm:warhead_cluster_small, Small Cluster Warhead
hbm:warhead_buster_small, Small Bunker Buster Warhead
hbm:warhead_generic_medium, Medium Warhead
hbm:warhead_incendiary_medium, Medium Incendiary Warhead
hbm:warhead_cluster_medium, Medium Cluster Warhead
hbm:warhead_buster_medium, Medium Bunker Buster Warhead
hbm:warhead_generic_large, Large Warhead
hbm:warhead_incendiary_large, Large Incendiary Warhead
hbm:warhead_cluster_large, Large Cluster Warhead
hbm:warhead_buster_large, Large Bunker Buster Warhead
hbm:warhead_nuclear, Nuclear Warhead
hbm:warhead_mirvlet, MIRV
hbm:warhead_mirv, Thermonuclear Warhead
hbm:warhead_volcano, Tectonic Warhead
hbm:warhead_thermo_endo, Endothermic Warhead
hbm:warhead_thermo_exo, Exothermic Warhead
hbm:thruster_small, Small Thruster
hbm:thruster_medium, Medium Thruster
hbm:thruster_large, Large Thruster
hbm:cap_aluminium, Aluminum Cap
hbm:hull_small_steel, Small Steel Shell
hbm:hull_small_aluminium, Small Aluminum Shell
hbm:hull_big_steel, Big Steel Shell
hbm:hull_big_aluminium, Big Aluminum Shell
hbm:hull_big_titanium, Big Titanium Shell
hbm:fins_flat, Flat Steel Casing
hbm:fins_small_steel, Small Steel Grid Fins
hbm:fins_big_steel, Big Steel Grid Fins
hbm:fins_tri_steel, Large Steel Fins
hbm:fins_quad_titanium, Small Titanium Fins
hbm:sphere_steel, Steel Sphere
hbm:pedestal_steel, Steel Pedestal
hbm:dysfunctional_reactor, Dysfunctional Nuclear Reactor
hbm:rotor_steel, Large Steel Rotor
hbm:generator_steel, Generator Body
hbm:sat_head_mapper, High-Gain Optical Camera
hbm:sat_head_scanner, M700 Survey Scanner
hbm:sat_head_radar, Radar Dish
hbm:sat_head_laser, Death Ray
hbm:sat_head_resonator, Xenium Resonator
hbm:seg_10, Size 10 Connector
hbm:seg_15, Size 15 Connector
hbm:seg_20, Size 20 Connector
hbm:fuel_tank_small, Small Fuel Tank
hbm:fuel_tank_medium, Medium Fuel Tank
hbm:fuel_tank_large, Large Fuel Tank
hbm:mp_thruster_10_kerosene, Size 10 Liquid Fuel Thruster
hbm:mp_thruster_10_solid, Size 10 Solid Fuel Thruster
hbm:mp_thruster_10_xenon, Size 10 Ion Thruster
hbm:mp_thruster_15_kerosene, Size 15 Liquid Fuel Thruster
hbm:mp_thruster_15_kerosene_dual, Size 15 Liquid Fuel Twin Thrusters
hbm:mp_thruster_15_kerosene_triple, Size 15 Liquid Fuel Triple Thrusters
hbm:mp_thruster_15_solid, Size 15 Solid Fuel Thruster
hbm:mp_thruster_15_solid_hexdecuple, Size 15 Solid Fuel Hexdecuple Thrusters
hbm:mp_thruster_15_hydrogen, Size 15 Hydrogen Thruster
hbm:mp_thruster_15_hydrogen_dual, Size 15 Hydrogen Twin Thrusters
hbm:mp_thruster_15_balefire_short, Size 15 BF Thruster with Nuclear Preheater (Shortened)
hbm:mp_thruster_15_balefire, Size 15 BF Thruster with Nuclear Preheater
hbm:mp_thruster_15_balefire_large, Size 15 BF Thruster with Nuclear Preheater (Heavy Duty Nozzle)
hbm:mp_thruster_15_balefire_large_rad, Size 15 BF Thruster with Nuclear Preheater (Heavy Duty Nozzle)
hbm:mp_thruster_20_kerosene, Size 20 Liquid Fuel Thruster
hbm:mp_thruster_20_kerosene_dual, Size 20 Liquid Fuel Twin Thrusters
hbm:mp_thruster_20_kerosene_triple, Size 20 Liquid Fuel Triple Thrusters
hbm:mp_thruster_20_solid, Size 20 Solid Fuel Thruster
hbm:mp_thruster_20_solid_multi, Size 20 Solid Fuel 30-Fold Thrusters
hbm:mp_thruster_20_solid_multier, Size 20 Solid Fuel 47-Fold Thrusters
hbm:mp_stability_10_flat, Size 10 Flat Fins
hbm:mp_stability_10_cruise, Size 10 Cruise Fins
hbm:mp_stability_10_space, Size 10 Space Fins
hbm:mp_stability_15_flat, Size 15 Flat Fins
hbm:mp_stability_15_thin, Size 15 Thin Fins
hbm:mp_stability_15_soyuz, Size 15 Pointy Fins
hbm:mp_fuselage_10_kerosene, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_camo, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_desert, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_sky, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_flames, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_insulation, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_sleek, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_metal, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_kerosene_taint, Size 10 Kerosene Fuselage
hbm:mp_fuselage_10_solid, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_flames, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_insulation, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_sleek, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_soviet_glory, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_cathedral, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_moonlit, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_battery, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_solid_duracell, Size 10 Solid Fuel Fuselage
hbm:mp_fuselage_10_xenon, Size 10 Xenon Fuselage
hbm:mp_fuselage_10_xenon_bhole, Size 10 Xenon Fuselage
hbm:mp_fuselage_10_long_kerosene, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_camo, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_desert, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_sky, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_flames, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_insulation, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_sleek, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_metal, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_dash, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_taint, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_kerosene_vap, Size 10 Long Kerosene Fuselage
hbm:mp_fuselage_10_long_solid, Size 10 Long Solid Fuel Fuselage
hbm:mp_fuselage_10_long_solid_flames, Size 10 Long Solid Fuel Fuselage
hbm:mp_fuselage_10_long_solid_insulation, Size 10 Long Solid Fuel Fuselage
hbm:mp_fuselage_10_long_solid_sleek, Size 10 Long Solid Fuel Fuselage
hbm:mp_fuselage_10_long_solid_soviet_glory, Size 10 Long Solid Fuselage
hbm:mp_fuselage_10_long_solid_bullet, Size 10 Long Solid Fuselage
hbm:mp_fuselage_10_long_solid_silvermoonlight, Size 10 Long Solid Fuselage
hbm:mp_fuselage_10_15_kerosene, Size 10/15 Kerosene Fuselage
hbm:mp_fuselage_10_15_solid, Size 10/15 Solid Fuel Fuselage
hbm:mp_fuselage_10_15_hydrogen, Size 10/15 Hydrogen Fuselage
hbm:mp_fuselage_10_15_balefire, Size 10/15 BF Fuselage
hbm:mp_fuselage_15_kerosene, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_camo, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_desert, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_sky, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_insulation, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_metal, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_decorated, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_steampunk, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_polite, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_blackjack, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_lambda, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_minuteman, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_pip, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_taint, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_kerosene_yuck, Size 15 Kerosene Fuselage
hbm:mp_fuselage_15_solid, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_insulation, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_desh, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_soviet_glory, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_soviet_stank, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_faust, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_silvermoonlight, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_snowy, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_panorama, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_solid_roses, Size 15 Solid Fuel Fuselage
hbm:mp_fuselage_15_hydrogen, Size 15 Hydrogen Fuselage
hbm:mp_fuselage_15_hydrogen_cathedral, Size 15 Hydrogen Fuselage
hbm:mp_fuselage_15_balefire, Size 15 BF Fuselage
hbm:mp_fuselage_15_20_kerosene, Size 15/20 Kerosene Fuselage
hbm:mp_fuselage_15_20_kerosene_magnusson, Size 15/20 Kerosene Fuselage
hbm:mp_fuselage_15_20_solid, Size 15/20 Solid Fuel Fuselage
hbm:mp_warhead_10_he, Size 10 HE Warhead
hbm:mp_warhead_10_incendiary, Size 10 Incendiary Warhead
hbm:mp_warhead_10_buster, Size 10 Bunker Buster Warhead
hbm:mp_warhead_10_nuclear, Size 10 Micro Nuclear Warhead
hbm:mp_warhead_10_nuclear_large, Size 10 Nuclear Warhead
hbm:mp_warhead_10_taint, Size 10 Tainted Warhead
hbm:mp_warhead_10_cloud, Size 10 Pink Cloud Warhead
hbm:mp_warhead_15_he, Size 15 HE Warhead
hbm:mp_warhead_15_incendiary, Size 15 Incendiary Warhead
hbm:mp_warhead_15_nuclear, Size 15 Nuclear Warhead
hbm:mp_warhead_15_nuclear_shark, Size 15 Nuclear Warhead
hbm:mp_warhead_15_boxcar, Size 15 Boxcar?
hbm:mp_warhead_15_n2, Size 15 N² Mine
hbm:mp_warhead_15_balefire, Size 15 BF Warhead
hbm:mp_c_1, Tier 1 Missile Targeting Circuit
hbm:mp_c_2, Tier 2 Missile Targeting Circuit
hbm:mp_c_3, Tier 3 Missile Targeting Circuit
hbm:mp_c_4, Tier 4 Missile Targeting Circuit
hbm:mp_c_5, Tier 5 Missile Targeting Circuit
hbm:missile_skin_camo, Missile Skin: Camo
hbm:missile_skin_desert, Missile Skin: Desert Camo
hbm:missile_skin_flames, Missile Skin: Sick Flames
hbm:missile_skin_manly_pink, Missile Skin: Manly Pink
hbm:missile_skin_orange_insulation, Missile Skin: Orange Insulation
hbm:missile_skin_sleek, Missile Skin: IF-R&D
hbm:missile_skin_soviet_glory, Missile Skin: Soviet Glory
hbm:missile_skin_soviet_stank, Missile Skin: Soviet Stank
hbm:missile_skin_metal, Missile Skin: Metal
hbm:missile_custom, Custom Missile
hbm:sliding_blast_door_skin0, Sideways Sliding Blast Door Default Skin
hbm:sliding_blast_door_skin1, Sideways Sliding Blast Door Variant 1 Skin
hbm:sliding_blast_door_skin2, Sideways Sliding Blast Door Variant 2 Skin
hbm:door_metal, Metal Door
hbm:door_office, Office Door
hbm:door_bunker, Bunker Door
hbm:record_lc, item.record_lc.name
hbm:record_ss, item.record_ss.name
hbm:record_vc, item.record_vc.name
hbm:record_glass, item.record_glass.name
hbm:flame_pony, Painting of a Cartoon Pony
hbm:flame_conspiracy, Conspiracy Theory
hbm:flame_politics, Political Topic
hbm:flame_opinion, Own Opinion
hbm:polaroid, The Polaroid
hbm:glitch, Glitch
hbm:burnt_bark, Burnt Bark
hbm:letter, Express Mail
hbm:book_secret, 3-596-50802-9
hbm:book_of_, The Book of Boxcars
hbm:crystal_horn, Crystal Horn
hbm:crystal_charred, Charred Crystal
hbm:watch, Broken Pocket Watch
hbm:apple_euphemium, Euphemium Apple
hbm:wand_k, Construction Wand
hbm:wand_s, Structure Wand
hbm:wand_d, Debug Wand
hbm:rod_of_discord, Rod of Discord
hbm:defuser, High-Tech Bomb Defusing Device
hbm:reacher, Tungsten Reacher
hbm:bismuth_tool, Magnetic Extractor
hbm:meltdown_tool, Dyatlov Instant Meltdown Applicator
hbm:chopper_head, Hunter Chopper Cockpit
hbm:chopper_gun, Emplacement Gun
hbm:chopper_torso, Hunter Chopper Body
hbm:chopper_tail, Hunter Chopper Tail
hbm:chopper_wing, Hunter Chopper Wing
hbm:chopper_blades, Hunter Chopper Rotor Blades
hbm:combine_scrap, CMB Scrap Metal
hbm:shimmer_head, Heavy Hammer Head
hbm:shimmer_axe_head, Heavy Axe Head
hbm:shimmer_handle, Reinforced Polymer Handle
hbm:telepad, Telepad
hbm:entanglement_kit, Entanglement Kit
hbm:bob_metalworks, item.bob_metalworks.name
hbm:bob_assembly, item.bob_assembly.name
hbm:bob_chemistry, item.bob_chemistry.name
hbm:bob_oil, item.bob_oil.name
hbm:bob_nuclear, item.bob_nuclear.name
hbm:digamma_see, item.digamma_see.name
hbm:digamma_feel, item.digamma_feel.name
hbm:digamma_know, item.digamma_know.name
hbm:digamma_kauai_moho, item.digamma_kauai_moho.name
hbm:digamma_up_on_top, item.digamma_up_on_top.name
hbm:smoke1, item.smoke1.name
hbm:smoke2, item.smoke2.name
hbm:smoke3, item.smoke3.name
hbm:smoke4, item.smoke4.name
hbm:smoke5, item.smoke5.name
hbm:smoke6, item.smoke6.name
hbm:smoke7, item.smoke7.name
hbm:smoke8, item.smoke8.name
hbm:b_smoke1, item.b_smoke1.name
hbm:b_smoke2, item.b_smoke2.name
hbm:b_smoke3, item.b_smoke3.name
hbm:b_smoke4, item.b_smoke4.name
hbm:b_smoke5, item.b_smoke5.name
hbm:b_smoke6, item.b_smoke6.name
hbm:b_smoke7, item.b_smoke7.name
hbm:b_smoke8, item.b_smoke8.name
hbm:d_smoke1, item.d_smoke1.name
hbm:d_smoke2, item.d_smoke2.name
hbm:d_smoke3, item.d_smoke3.name
hbm:d_smoke4, item.d_smoke4.name
hbm:d_smoke5, item.d_smoke5.name
hbm:d_smoke6, item.d_smoke6.name
hbm:d_smoke7, item.d_smoke7.name
hbm:d_smoke8, item.d_smoke8.name
hbm:cloud1, item.cloud1.name
hbm:cloud2, item.cloud2.name
hbm:cloud3, item.cloud3.name
hbm:cloud4, item.cloud4.name
hbm:cloud5, item.cloud5.name
hbm:cloud6, item.cloud6.name
hbm:cloud7, item.cloud7.name
hbm:cloud8, item.cloud8.name
hbm:gasflame1, item.gasflame1.name
hbm:gasflame2, item.gasflame2.name
hbm:gasflame3, item.gasflame3.name
hbm:gasflame4, item.gasflame4.name
hbm:gasflame5, item.gasflame5.name
hbm:gasflame6, item.gasflame6.name
hbm:gasflame7, item.gasflame7.name
hbm:gasflame8, item.gasflame8.name
hbm:flame_1, item.flame_1.name
hbm:flame_2, item.flame_2.name
hbm:flame_3, item.flame_3.name
hbm:flame_4, item.flame_4.name
hbm:flame_5, item.flame_5.name
hbm:flame_6, item.flame_6.name
hbm:flame_7, item.flame_7.name
hbm:flame_8, item.flame_8.name
hbm:flame_9, item.flame_9.name
hbm:flame_10, item.flame_10.name
hbm:orange1, item.orange1.name
hbm:orange2, item.orange2.name
hbm:orange3, item.orange3.name
hbm:orange4, item.orange4.name
hbm:orange5, item.orange5.name
hbm:orange6, item.orange6.name
hbm:orange7, item.orange7.name
hbm:orange8, item.orange8.name
hbm:pc1, item.pc1.name
hbm:pc2, item.pc2.name
hbm:pc3, item.pc3.name
hbm:pc4, item.pc4.name
hbm:pc5, item.pc5.name
hbm:pc6, item.pc6.name
hbm:pc7, item.pc7.name
hbm:pc8, item.pc8.name
hbm:chlorine1, item.chlorine1.name
hbm:chlorine2, item.chlorine2.name
hbm:chlorine3, item.chlorine3.name
hbm:chlorine4, item.chlorine4.name
hbm:chlorine5, item.chlorine5.name
hbm:chlorine6, item.chlorine6.name
hbm:chlorine7, item.chlorine7.name
hbm:chlorine8, item.chlorine8.name
hbm:ln2_1, item.ln2_1.name
hbm:ln2_2, item.ln2_2.name
hbm:ln2_3, item.ln2_3.name
hbm:ln2_4, item.ln2_4.name
hbm:ln2_5, item.ln2_5.name
hbm:ln2_6, item.ln2_6.name
hbm:ln2_7, item.ln2_7.name
hbm:ln2_8, item.ln2_8.name
hbm:ln2_9, item.ln2_9.name
hbm:ln2_10, item.ln2_10.name
hbm:gas1, item.gas1.name
hbm:gas2, item.gas2.name
hbm:gas3, item.gas3.name
hbm:gas4, item.gas4.name
hbm:gas5, item.gas5.name
hbm:gas6, item.gas6.name
hbm:gas7, item.gas7.name
hbm:gas8, item.gas8.name
hbm:spill1, item.spill1.name
hbm:spill2, item.spill2.name
hbm:spill3, item.spill3.name
hbm:spill4, item.spill4.name
hbm:spill5, item.spill5.name
hbm:spill6, item.spill6.name
hbm:spill7, item.spill7.name
hbm:spill8, item.spill8.name
hbm:nothing, Nothing
hbm:ducc, ducc
hbm:discharge, item.discharge.name
hbm:undefined, Undefined
hbm:mysteryshovel, Brittle Spade
hbm:memory, item.null.name
hbm:test_render, tile.test_render.name
hbm:obj_tester, tile.obj_tester.name
hbm:cheater_virus, Gelid Euphemium
hbm:cheater_virus_seed, Unstable Euphemium Schrabide Block
hbm:crystal_virus, Dark Crystal
hbm:crystal_hardened, Hardened Dark Crystal
hbm:crystal_pulsar, Pulsating Crystal
hbm:taint, Taint
hbm:residue, Cloud Residue
hbm:balefire, tile.balefire.name
hbm:fire_digamma, Lingering Digamma
hbm:digamma_matter, tile.digamma_matter.name
hbm:asphalt, Asphalt
hbm:reinforced_brick, Reinforced Stone
hbm:reinforced_glass, Reinforced Glass
hbm:reinforced_light, Reinforced Glowstone
hbm:reinforced_sand, Reinforced Sandstone
hbm:reinforced_lamp_off, Reinforced Lamp
hbm:reinforced_lamp_on, Reinforced Lamp
hbm:reinforced_stone, Reinforced Stone
hbm:concrete_smooth, Concrete
hbm:concrete, Concrete Tile
hbm:concrete_asbestos, Asbestos Concrete
hbm:concrete_pillar, Rebar Reinforced Concrete Pillar
hbm:lamp_demon, Demon Core Lamp
hbm:ore_uranium, Uranium Ore
hbm:ore_uranium_scorched, Scorched Uranium Ore
hbm:ore_schrabidium, Schrabidium Ore
hbm:ore_nether_coal, Burning Nether Coal Ore
hbm:ore_nether_smoldering, Smoldering Netherrack
hbm:ore_nether_uranium, Nether Uranium Ore
hbm:ore_nether_uranium_scorched, Scorched Nether Uranium Ore
hbm:ore_nether_cobalt, Nether Cobalt Ore
hbm:ore_nether_schrabidium, Nether Schrabidium Ore
hbm:ore_thorium, Thorium Ore
hbm:ore_titanium, Titanium Ore
hbm:ore_sulfur, Sulfur Ore
hbm:ore_niter, Niter Ore
hbm:ore_copper, Copper Ore
hbm:ore_tungsten, Tungsten Ore
hbm:ore_aluminium, Aluminum Ore
hbm:ore_fluorite, Fluorite Ore
hbm:ore_lead, Lead Ore
hbm:ore_beryllium, Beryllium Ore
hbm:ore_lignite, Lignite Ore
hbm:ore_asbestos, Asbestos Ore
hbm:ore_rare, Rare Earth Ore
hbm:ore_nether_plutonium, Nether Plutonium Ore
hbm:ore_nether_tungsten, Nether Tungsten Ore
hbm:ore_nether_sulfur, Nether Sulfur Ore
hbm:ore_nether_fire, Nether Phosphorus Ore
hbm:ore_coal_oil, Oily Coal Ore
hbm:ore_coal_oil_burning, Burning Oily Coal Ore
hbm:cluster_iron, Iron Ore Cluster
hbm:cluster_titanium, Titanium Ore Cluster
hbm:cluster_aluminium, Aluminium Ore Cluster
hbm:ore_cobalt, Cobalt Ore
hbm:ore_cinnebar, Cinnabar Ore
hbm:ore_coltan, Coltan Ore
hbm:ore_bedrock_coltan, Bedrock Coltan Ore
hbm:ore_oil, Oil Deposit
hbm:ore_oil_empty, Empty Oil Deposit
hbm:ore_oil_sand, Tar Sand
hbm:ore_meteor_uranium, Meteor Uranium Ore
hbm:ore_meteor_thorium, Meteor Thorium Ore
hbm:ore_meteor_titanium, Meteor Titanium Ore
hbm:ore_meteor_sulfur, Meteor Sulfur Ore
hbm:ore_meteor_copper, Meteor Copper Ore
hbm:ore_meteor_tungsten, Meteor Tungsten Ore
hbm:ore_meteor_aluminium, Meteor Aluminum Ore
hbm:ore_meteor_lead, Meteor Lead Ore
hbm:ore_meteor_lithium, Meteor Lithium Ore
hbm:ore_meteor_starmetal, Starmetal Ore
hbm:stone_gneiss, Graphitic Schist
hbm:ore_gneiss_iron, Schist Iron Ore
hbm:ore_gneiss_gold, Schist Gold Ore
hbm:ore_gneiss_uranium, Schist Uranium Ore
hbm:ore_gneiss_uranium_scorched, Scorched Schist Uranium Ore
hbm:ore_gneiss_copper, Schist Copper Ore
hbm:ore_gneiss_asbestos, Schist Asbestos Ore
hbm:ore_gneiss_lithium, Schist Lithium Ore
hbm:ore_gneiss_schrabidium, Schist Schrabidium Ore
hbm:ore_gneiss_rare, Schist Rare Earth Ore
hbm:ore_gneiss_gas, Gas Shale
hbm:ore_tikite, Trixite
hbm:block_meteor, Meteorite Block
hbm:block_meteor_cobble, Meteorite Cobblestone
hbm:block_meteor_broken, Broken Meteorite Block
hbm:block_meteor_molten, Hot Meteorite Cobblestone
hbm:block_meteor_treasure, Meteorite Treasure Block
hbm:meteor_polished, Polished Meteor Block
hbm:meteor_brick, Meteor Bricks
hbm:meteor_brick_mossy, Mossy Meteor Bricks
hbm:meteor_brick_cracked, Cracked Meteor Bricks
hbm:meteor_brick_chiseled, Chiseled Meteor Bricks
hbm:meteor_pillar, Meteor Pillar
hbm:meteor_spawner, Cyber Crab Assembler
hbm:meteor_battery, Starmetal Static Electricity Generator
hbm:brick_jungle, Enargite Bricks
hbm:brick_jungle_cracked, Cracked Enargite Bricks
hbm:brick_jungle_lava, Magmatic Enargite Bricks
hbm:brick_jungle_ooze, Radioactive Enargite Bricks
hbm:brick_jungle_mystic, Arcane Enargite Bricks
hbm:brick_jungle_trap, Trapped Enargite Bricks
hbm:brick_jungle_glyph, Enargite Glyph Bricks
hbm:brick_jungle_circle, Mechanist's Circle
hbm:brick_dungeon, Berzelianite Bricks
hbm:brick_dungeon_flat, Berzelianite Block
hbm:brick_dungeon_tile, Berzelianite Tile
hbm:brick_dungeon_circle, Berzelianite Cirlce
hbm:block_niter, Block of Niter
hbm:block_sulfur, Block of Sulfur
hbm:block_thorium, Block of Thorium
hbm:block_thorium_fuel, Block of Thorium Fuel
hbm:block_neptunium, Block of Neptunium
hbm:block_polonium, Block of Polonium
hbm:block_mox_fuel, Block of MOX Fuel
hbm:block_plutonium, Block of Plutonium
hbm:block_pu238, Block of Pu238
hbm:block_pu239, Block of Pu239
hbm:block_pu240, Block of Pu240
hbm:block_pu_mix, Block of Reactor Grade Plutonium
hbm:block_plutonium_fuel, Block of Plutonium Fuel
hbm:block_uranium, Block of Uranium
hbm:block_u233, Block of U233
hbm:block_u235, Block of U235
hbm:block_u238, Block of U238
hbm:block_uranium_fuel, Block of Uranium Fuel
hbm:block_titanium, Block of Titanium
hbm:block_copper, Block of Copper
hbm:block_red_copper, Block of Red Copper
hbm:block_advanced_alloy, Block of Advanced Alloy
hbm:block_tungsten, Block of Tungsten
hbm:block_aluminium, Block of Aluminum
hbm:block_fluorite, Block of Fluorite
hbm:block_steel, Block of Steel
hbm:block_lead, Block of Lead
hbm:block_bismuth, Block of Bismuth
hbm:block_coltan, Block of Coltan
hbm:block_tantalium, Block of Tantalium
hbm:block_niobium, Block of Niobium
hbm:block_trinitite, Block of Trinitite
hbm:block_beryllium, Block of Beryllium
hbm:block_schraranium, Block of Schraranium
hbm:block_schrabidium, Block of Schrabidium
hbm:block_schrabidate, Block of Ferric Schrabidate
hbm:block_solinium, Block of Solinium
hbm:block_schrabidium_fuel, Block of Schrabidium Fuel
hbm:block_euphemium, Block of Euphemium
hbm:block_dineutronium, Block of Dineutronium
hbm:block_schrabidium_cluster, Schrabidium Cluster
hbm:block_euphemium_cluster, Euphemium-Etched Schrabidium Cluster	   
hbm:block_combine_steel, Block of CMB Steel
hbm:block_magnetized_tungsten, Block of Magnetized Tungsten
hbm:block_desh, Reinforced Block of Desh
hbm:block_dura_steel, Reinforced Block of High-Speed Steel
hbm:gravel_obsidian, Crushed Obsidian
hbm:gravel_diamond, Diamond Gravel
hbm:brick_concrete, Concrete Bricks
hbm:brick_concrete_mossy, Mossy Concrete Bricks
hbm:brick_concrete_cracked, Cracked Concrete Bricks
hbm:brick_concrete_broken, Broken Concrete Bricks
hbm:brick_concrete_marked, Marked Concrete Bricks
hbm:brick_light, Light Bricks
hbm:brick_compound, Compound Mesh
hbm:cmb_brick, CMB Steel Tile
hbm:cmb_brick_reinforced, Reinforced CMB Bricks
hbm:brick_asbestos, Asbestos Bricks
hbm:brick_obsidian, Obsidian Bricks
hbm:block_scrap, Block of Scrap
hbm:block_electrical_scrap, Block of Electrical Scrap
hbm:tile_lab, Laboratory Tiles
hbm:tile_lab_cracked, Cracked Laboratory Tiles
hbm:tile_lab_broken, Broken Laboratory Tiles
hbm:deco_titanium, Titanium Deco Block
hbm:deco_red_copper, Red Copper Deco Block
hbm:deco_tungsten, Tungsten Deco Block
hbm:deco_aluminium, Aluminum Deco Block
hbm:deco_steel, Steel Deco Block
hbm:deco_lead, Lead Deco Block
hbm:deco_beryllium, Beryllium Deco Block
hbm:deco_asbestos, Asbestos Roof
hbm:spinny_light, Spinny Light
hbm:hazmat, Hazmat Cloth Block
hbm:tape_recorder, Tape Recorder
hbm:steel_poles, Steel Pole
hbm:pole_top, Antenna Top
hbm:pole_satellite_receiver, Satellite Dish
hbm:steel_wall, Steel Wall
hbm:steel_corner, Steel Wall Corner
hbm:steel_roof, Flat Steel Roof
hbm:steel_beam, Steel Beam
hbm:steel_scaffold, Steel Scaffold
hbm:steel_grate, Steel Grate
hbm:deco_pipe, Steel Pipe
hbm:deco_pipe_rusted, Rusty Steel Pipe
hbm:deco_pipe_green, Green Steel Pipe
hbm:deco_pipe_green_rusted, Rusty Green Steel Pipe
hbm:deco_pipe_red, Red Steel Pipe
hbm:deco_pipe_marked, Gas Pipe
hbm:deco_pipe_rim, Steel Pipe (Rimmed)
